Topic,Subtopic,Tweet,Hashtag,Emojis
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @WeHeartLiving: Win a bundle of cardio essentials! Follow and RT to enter. Info: https://t.co/RBfH1tDiT8 #fitness #comp https://t.co/BSz3s2hOua,"fitness,comp",
Health and Fitness,Health and Fitness/Aging,"Skip to the Loo, My Darling | Gransnet https://t.co/yU65tdsedH via @gransnet",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @CarlyCCxx: PROTEIN SMOOTHIE https://t.co/nHE9dNTbUt STRAWBERRY &amp; VANILLA @MyproteinUK @BloggerBees @BBloggersUnite @LovingBlogs https://t.co/42weAS0y4I,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: Want to #win a Fitbit Blaze fitness watch? RT &amp; Follow to enter our #competition #giveaway. https://t.co/5nWiwkVhn3,"win,competition,giveaway",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: Want to #win a Fitbit Blaze fitness watch? RT &amp; Follow to enter our #competition #giveaway. https://t.co/XCpMyWqy7n,"win,competition,giveaway",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@realbuzzcom This looks amazing!,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @sativashakes: #COMPETITION! #WIN a Sativa Shakes Starter Pack! #FOLLOW + #RT with #Sativashakes to enter! https://t.co/V5KNlt6S4p https://t.co/2UcSF2liKr,"COMPETITION,WIN,FOLLOW,RT,Sativashakes",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MyproteinUK: Today is #Nationaloatmealcookie day! 😍🍪
WIN a box of our oatmeal raisin protein cookies, RT &amp; FOLLOW to win! https://t.co/gJTTs1MCBt",Nationaloatmealcookie,"heart_eyes,cookie"
Health and Fitness,Health and Fitness/Dental Care,RT @TheBreathCo: It's #FreebieFriday time lovelies! RT &amp; Follow to #WIN a Breath Co. Bundle of product worth over £50. Ends 30/04. https://t.co/F2CjFGsMrN,"FreebieFriday,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@FlTNESS @CharlotWilliams holiday workout 😘☀️🌴,,"kissing_heart,sunny,palm_tree"
Health and Fitness,Health and Fitness/Exercise and Nutrition,Who'd have thought you could fly half-way round the world to work with some of @crossfit's top… https://t.co/zAX8GZtNSy,,
Health and Fitness,Health and Fitness/Women's Health,RT @leggylinda1: Thanks 👣💖@Fabulousmag great coverage for the trek and @CoppaFeelPeople @VickyGShore @MadeleyChloe @JoanFurlong6 https://t.co/GwsavYPjUe,,"footprints,sparkling_heart"
Health and Fitness,Health and Fitness/Women's Health,RT @CoppaFeelPeople: Pick up @Fabulousmag today to get the lowdown on all things #FabulousChallenge with trekkers @KrisPoB @VickyGShore &amp;@chloemadeley,FabulousChallenge,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MyproteinUK: 🍓🌱SUPERFOOD SUNDAY🍓🌱
FOLLOW &amp; RT to win a superfood bundle of organic products! Ends 10pm! https://t.co/AXPJgnWCab",,"strawberry,seedling,strawberry,seedling"
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MyproteinUK: 🍓🌱SUPERFOOD SUNDAY🍓🌱
FOLLOW &amp; RT to win a superfood bundle of organic products! Ends 10pm! https://t.co/AXPJgnWCab",,"strawberry,seedling,strawberry,seedling"
Health and Fitness,Health and Fitness/Exercise and Nutrition,@CarlyRowena I got an old school 636 off eBay for £3,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,@CarlyRowena just say when!,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MeatManNo1: We have teamed up with our good pals at @SkinnyChimp just FOLLOW, LIKE AND RT for chance to win!!! https://t.co/HZDx37pAxy",,
Health and Fitness,Health and Fitness/Aging,Ratchet and Clank | Competitions | Gransnet https://t.co/BF1mkH4Fjx via @gransnet,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,@realbuzzcom the tomatoes and green leaves #fitfam #fitfood,"fitfam,fitfood",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: Which of these beauties would you love to eat first? RT if you love a good bagel! #fitfam #fitfood https://t.co/VxpQVWqVw6,"fitfam,fitfood",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @barefootsos: Help us celebrate winning Best Eczema Range! @natural_mag FOLLOW &amp; RT to #win @barefootsos! #competition ends 3.5.16 https://t.co/VidshzS1BK,"win,competition",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@barefootsos @natural_mag Fingers tightly crossed :D ☘ ☘ ☘ #competition,competition,
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SalveoUK @UndergroundToys #CapitanAmericaCivilWar  Brill :),CapitanAmericaCivilWar,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: #Giveaway time! RT &amp; follow @SalveoUK &amp; @UndergroundToys to #win a #CapitanAmericaCivilWar POP! Ends 04/05 23:59 https://t.co/4NFGHBrlat,"Giveaway,win,CapitanAmericaCivilWar",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @barefootsos: Help us celebrate winning Best Eczema Range! @natural_mag FOLLOW &amp; RT to #win @barefootsos! #competition ends 3.5.16 https://t.co/VidshzS1BK,"win,competition",
Health and Fitness,Health and Fitness/Sports Medicine,"RT @etixxUK: WIN: FOLLOW US and RT this to win 1 of 3 Etixx 600ml Bottles, closes 11am 03/05/16 https://t.co/7WyHSXfOmI",,
Health and Fitness,Health and Fitness/Alternative Medicine,RT @barefootsos: Help us celebrate winning Best Eczema Range! @natural_mag FOLLOW &amp; RT to #win @barefootsos! #competition ends 3.5.16 https://t.co/VidshzS1BK,"win,competition",
Health and Fitness,Health and Fitness/Alternative Medicine,RT @barefootsos: Help us celebrate winning Best Eczema Range! @natural_mag FOLLOW &amp; RT to #win @barefootsos! #competition ends 3.5.16 https://t.co/VidshzS1BK,"win,competition",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"@barefootsos @natural_mag This would be wonderful for my son, thank you for the chance. #competition #win","competition,win",
Health and Fitness,Health and Fitness/Weight Loss,RT @TheSlimmingMan: @SlimmingWorld Dinner this evening was Soy &amp; Ginger Salmon and Rainbow Salad with a Chilli &amp; Lime dressing 😍 https://t.co/MJUxPdGVwy,,heart_eyes
Health and Fitness,Health and Fitness/Dental Care,RT @comparethetreat: Would you like to #WIN a Germaine de Capiccini Timexpert gift set RRP £158? Follow Fav and Retweet to enter! https://t.co/LF1pTbkgSV,WIN,
Health and Fitness,Health and Fitness/Dental Care,RT @comparethetreat: Would you like to #WIN a Germaine de Capiccini Timexpert gift set RRP £158? Follow Fav and Retweet to enter! https://t.co/zbTYOkM1PK,WIN,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @barefootsos: Help us celebrate winning Best Eczema Range! @natural_mag Follow &amp; RT to #win @barefootsos! #competition Ends 3.5.16 https://t.co/NluuZTkkRe,"win,competition",
Health and Fitness,Health and Fitness/Alternative Medicine,Help us celebrate winning Best Eczema Range! @natural_mag RT+F to #win @barefootsos! #competition Ends 3.5 https://t.co/HXOcSAd9dO 🐃🐖📹🍛,"win,competition","water_buffalo,pig2,video_camera,curry"
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: Quick! RT &amp; follow @SalveoUK &amp; @BabaChews to #win our #giveaway for a Monica Sky Blue BabaChew! Ends 04/05 23:59 https://t.co/WY81o4Kl8W,"win,giveaway",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: Quick! RT &amp; follow @SalveoUK &amp; @BabaChews to #win our #giveaway for a Monica Sky Blue BabaChew! Ends 04/05 23:59 https://t.co/WY81o4Kl8W,"win,giveaway",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Aging,Drumond Park | Competitions | Gransnet https://t.co/s9FEcg2DEk via @gransnet,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@realbuzzcom #realbuzzwin fab thanks x,realbuzzwin,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@realbuzzcom Fingers tightly crossed! ☘ ☘ ☘ #realbuzzWin,realbuzzWin,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"@shauntfitness @FocusT25 just finished speed 2.0 for the first time, easily my favourite routine so far, excellent workout #t25 #focus","t25,focus",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"@cluranderson @FocusT25 @shauntfitness it's great, 25 minutes just flew in, have only previously done insanity before",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @goodhealth: Add a tennis ball to your exercise routine for all-over benefits: https://t.co/OPd4RimQYA https://t.co/XrHJiDK4ny,,
Health and Fitness,Health and Fitness/Weight Loss,I want to #win a #SlimpodGold from @thinkingslimmer and @mumstheboss #getsetforsummer #giveaway https://t.co/ss3x9R171j,"win,SlimpodGold,getsetforsummer,giveaway",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@GammaLabs Can´t buy it because i live in Norway :/,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: Quick! RT &amp; follow @SalveoUK &amp; @BabaChews to #win our #giveaway for a Monica Sky Blue BabaChew! Ends 04/05 23:59 https://t.co/WY81o4Kl8W,"win,giveaway",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @goodhealth: This ice cream will take your avocado obsession to the next level: https://t.co/Hv9S190avI,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @sativashakes: #COMPETITION! #WIN a Sativa Shakes Starter Pack! #FOLLOW + #RT with #Sativashakes to enter! https://t.co/V5KNlt6S4p https://t.co/pLKFe86OLi,"COMPETITION,WIN,FOLLOW,RT,Sativashakes",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: #Giveaway time! RT &amp; follow @SalveoUK &amp; @UndergroundToys to #win a #CapitanAmericaCivilWar POP! Ends 04/05 23:59 https://t.co/4NFGHBrlat,"Giveaway,win,CapitanAmericaCivilWar",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @goodhealth: Up your Guacamole game for Cinco de Mayo with these 5 fresh recipes: https://t.co/PyZcREEKLB,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: Quick! RT &amp; follow @SalveoUK &amp; @BabaChews to #win our #giveaway for a Monica Sky Blue BabaChew! Ends 04/05 23:59 https://t.co/WY81o4Kl8W,"win,giveaway",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"#WCW this week goes out to @icelandannie. 

It's becoming more apparent to me that the world… https://t.co/MaEHsnUgHe",WCW,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: #Giveaway time! RT &amp; follow @SalveoUK &amp; @UndergroundToys to #win a #CapitanAmericaCivilWar POP! Ends 04/05 23:59 https://t.co/4NFGHBrlat,"Giveaway,win,CapitanAmericaCivilWar",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteWashLabs: We’ve got you a hump day treat for #WhiteWashWednesday! RT + follow to #WIN a white rotating electric toothbrush: https://t.co/uIewe0XOez,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Dental Care,@WhiteWashLabs #WhiteWashWednesday ... Many thanks for a super giveaway,WhiteWashWednesday,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SkinnyChimp: Rest and repair #important,important,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: Quick! RT &amp; follow @SalveoUK &amp; @BabaChews to #win our #giveaway for a Monica Sky Blue BabaChew! Ends 04/05 23:59 https://t.co/WY81o4Kl8W,"win,giveaway",
Health and Fitness,Health and Fitness/Health Technology,"NOT impressed with @classpass price hike. Anyone else thinking 'good while it lasted, time to cancel?' #classpasslondon",classpasslondon,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: #Giveaway time! RT &amp; follow @SalveoUK &amp; @UndergroundToys to #win a #CapitanAmericaCivilWar POP! Ends 04/05 23:59 https://t.co/4NFGHBrlat,"Giveaway,win,CapitanAmericaCivilWar",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SalveoUK @UndergroundToys wow yes please retweeted amazing movie,,
Health and Fitness,Health and Fitness/Mental Health,Great dementia awareness session at work today. Proud to now be a @DementiaFriends https://t.co/eLoMhcMEF0,,
Health and Fitness,Health and Fitness/Dental Care,"RT @WhiteWashLabs: Fancy winning a Nano-Silver Whitening Toothbrush? RT + follow to enter our #WhiteWashWednesday #competition!
https://t.co/X9OYlWyjaZ","WhiteWashWednesday,competition",
Health and Fitness,Health and Fitness/Health Technology,RT @OCHWW: Lunch is served thanks to @bricklanecurry #ApexEHR https://t.co/Rhf37xdaG6,ApexEHR,
Health and Fitness,Health and Fitness/Exercise and Nutrition,#Giveaway time! F+RT @SalveoUK &amp; @UndergroundToys to #win a #CapitanAmericaCivilWar POP! Ends 04/05 23:59 https://t.co/EUgNvnT6TL 🌮️🏌️,"Giveaway,win,CapitanAmericaCivilWar",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @time4official: Time 4 #winningwednesday RT to win. #competitions #win #free https://t.co/PXJxABywHj,"winningwednesday,competitions,win,free",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @Very_Sports: Want to #win our @Biosynergy Whey Better Ready To Drink? RT + FOLLOW to enter! 2 x12 packs to #giveaway! https://t.co/qCgo7Rbt9X,"win,giveaway",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @UKTeam_Optimum: #RT &amp; follow for your chance to #win our new #GoldBCAA We're giving away a tub everyday this week! #TeamON https://t.co/FZQhcZptGm,"RT,win,GoldBCAA,TeamON",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @UKTeam_Optimum: #RT &amp; follow for your chance to #win our new #GoldBCAA We're giving away a tub everyday this week! #TeamON https://t.co/CQwp9fXMMp,"RT,win,GoldBCAA,TeamON",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @UKTeam_Optimum: For your chance to #win a tub of our new #GoldBCAA, simply #RT &amp; Follow us! #TeamON https://t.co/Ni1RMewb6p","win,GoldBCAA,RT,TeamON",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @UKTeam_Optimum: For your chance to #win a tub of our new #GoldBCAA, simply #RT &amp; Follow us! #TeamON https://t.co/2OFUCBMM7L","win,GoldBCAA,RT,TeamON",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @Very_Sports: Want to #win our @Biosynergy Whey Better Ready To Drink? RT + FOLLOW to enter! 2 x12 packs to #giveaway! https://t.co/qCgo7Rbt9X,"win,giveaway",
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteGloUK: You could #win one of TWO Diamond Series Kits in our new #competition.Simply RT&amp;Follow us. Ends Friday 6th May 12pm. https://t.co/K7PbgbXt9q,"win,competition",
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteWashLabs: We’ve got you a hump day treat for #WhiteWashWednesday! RT + follow to #WIN a white rotating electric toothbrush: https://t.co/uIewe0XOez,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: It's #competition time! #Win Nike #running shoes in our #prize #giveaway. RT &amp; Follow to enter #realbuzzWin https://t.co/k3riNQOdVm,"competition,Win,running,prize,giveaway,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@realbuzzcom Thanks for the competition :) Fingers crossed!,,
Health and Fitness,Health and Fitness/Health Technology,RT @Powwownow: Considering trying a #coworking space? Maybe it's time you tried @headspace https://t.co/KHxVy7WyMg #FlexibleWorking https://t.co/4g0027aBoP,"coworking,FlexibleWorking",
Health and Fitness,Health and Fitness/Exercise and Nutrition,New Workout #Tech For Spring And Summer @PromaxNutrition   https://t.co/7tuGMwpbMi,Tech,
Health and Fitness,Health and Fitness/Dental Care,RT @comparethetreat: #WIN a Germaine de Capiccini Timexpert gift set RRP £158? Follow Fav and Retweet there's 2 days left to enter! https://t.co/dLCiswQ4Cm,WIN,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: #Giveaway time! RT &amp; follow @SalveoUK &amp; @UndergroundToys to #win a #CapitanAmericaCivilWar POP! Ends 04/05 23:59 https://t.co/4NFGHBrlat,"Giveaway,win,CapitanAmericaCivilWar",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SalveoUK @UndergroundToys Thanks for the competition :) Fingers crossed!,,
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteWashLabs: We’ve got you a hump day treat for #WhiteWashWednesday! RT + follow to #WIN a white rotating electric toothbrush: https://t.co/uIewe0XOez,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@reesesandfitnes done #fingerscrossed,fingerscrossed,
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteWashLabs: We’ve got you a hump day treat for #WhiteWashWednesday! RT + follow to #WIN a white rotating electric toothbrush: https://t.co/uIewe0XOez,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @BeFitMotivation: Your mind does 99% of the work. Use it to your advantage.,,
Health and Fitness,Health and Fitness/Dental Care,RT @WhiteWashLabs: We’ve got you a hump day treat for #WhiteWashWednesday! RT + follow to #WIN a white rotating electric toothbrush: https://t.co/uIewe0XOez,"WhiteWashWednesday,WIN",
Health and Fitness,Health and Fitness/Dental Care,@WhiteWashLabs Thanks for the competition :) Fingers crossed!,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @NEO_G: It's our weekly #FreebieFriday #Giveaway #WIN a Neo G Hot &amp; Cold Therapy Pack! Follow + RT to enter. Winner @ 5PM https://t.co/hxP50PvgJf,"FreebieFriday,Giveaway,WIN",
Health and Fitness,Health and Fitness/Sports Medicine,"@NEO_G Very useful for sporting injuries, thank you #FreebieFriday #giveaway","FreebieFriday,giveaway",
Health and Fitness,Health and Fitness/Sports Medicine,RT @NEO_G: It's our weekly #FreebieFriday #Giveaway #WIN a Neo G Hot &amp; Cold Therapy Pack! Follow + RT to enter. Winner @ 5PM https://t.co/hxP50PvgJf,"FreebieFriday,Giveaway,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SweatbandActive: #win @PolarGlobal #Smart #Scale worth £71.09! RT&amp;F https://t.co/pYVb9q7Yhj #Giveaway #competition #Draw 14/05/16 https://t.co/yCyp3VLkPO,"win,Smart,Scale,Giveaway,competition,Draw",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@SweatbandActive @PolarGlobal Thanks for the competition :) Fingers crossed!,,
Health and Fitness,Health and Fitness/Dental Care,RT @comparethetreat: Last chance to #WIN a Germaine de Capiccini Timexpert gift set RRP £158? Follow Fav and Retweet to enter! https://t.co/kXJ66YLFLA,WIN,
Health and Fitness,Health and Fitness/Dental Care,@comparethetreat Perk up my Skin with this Amazing Giveaway @DavinaHuntley,,
Health and Fitness,Health and Fitness/Sports Medicine,RT @NEO_G: It's our weekly #FreebieFriday #Giveaway #WIN a Neo G Hot &amp; Cold Therapy Pack! Follow + RT to enter. Winner @ 5PM https://t.co/hxP50PvgJf,"FreebieFriday,Giveaway,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@NEO_G Thanks for the competition :) Fingers crossed!,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SweatbandActive: #win @PolarGlobal #Smart #Scale worth £71.09! RT&amp;F https://t.co/pYVb9q7Yhj #Giveaway #competition #Draw 14/05/16 https://t.co/yCyp3VLkPO,"win,Smart,Scale,Giveaway,competition,Draw",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @NEO_G: It's our weekly #FreebieFriday #Giveaway #WIN a Neo G Hot &amp; Cold Therapy Pack! Follow + RT to enter. Winner @ 5PM https://t.co/hxP50PvgJf,"FreebieFriday,Giveaway,WIN",
Health and Fitness,Health and Fitness/Sports Medicine,I've entered to #win a natural #FirstAid spray from @NatraSanUK with @anywaytostay #competition #health https://t.co/qCb3E4YmZw,"win,FirstAid,competition,health",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @protocolUK: #Competition time! To celebrate our new bigger, better @protocolUK HQ! Just #retweet &amp; #follow #FreebieFriday #win https://t.co/pEEgBcwDn9","Competition,retweet,follow,FreebieFriday,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,@protocolUK #win RT&amp;F #FreebieFriday #comp Love ❤ to try this &amp; need a miracle like this! @babychloeb @melp75 @jhill1105,"win,FreebieFriday,comp",
Health and Fitness,Health and Fitness/Weight Loss,@BooteaTeatox Thanks for the competition :) Fingers crossed!,,
Health and Fitness,Health and Fitness/Sports Medicine,RT @NEO_G: It's our weekly #FreebieFriday #Giveaway #WIN a Neo G Hot &amp; Cold Therapy Pack! Follow + RT to enter. Winner @ 5PM https://t.co/hxP50PvgJf,"FreebieFriday,Giveaway,WIN",
Health and Fitness,Health and Fitness/Sports Medicine,RT @NEO_G: It's our weekly #FreebieFriday #Giveaway #WIN a Neo G Hot &amp; Cold Therapy Pack! Follow + RT to enter. Winner @ 5PM https://t.co/hxP50PvgJf,"FreebieFriday,Giveaway,WIN",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muc_off: It's #freebiefriday Like to win an epic £150 bundle from @MuscleFoodUK + our Athlete Performance creams! https://t.co/C2FU9uT3Gt,freebiefriday,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @WeHeartLiving: #Win our #summer glow bundle! Simply follow and RT to enter. Info:https://t.co/aU41SS0Z4b https://t.co/GqNf2HLLBB,"Win,summer",
Health and Fitness,Health and Fitness/Aging,RT @gransnet: LAST CHANCE to #win a deluxe beginners' acoustic guitar pack from Yamaha https://t.co/zNqzKorvjs #FreebieFriday https://t.co/cfFcC8cztg,"win,FreebieFriday",
