Topic,Subtopic,Tweet,Hashtag,Emojis
Health and Fitness,Health and Fitness/Disease Centres and Information,"has the @NHSChoices week 1 map ready to go!Hydro, gym, physio &amp; weights all clocked before 08:00! #cancer #rehab https://t.co/vegDmWo4xH","cancer,rehab",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Need to strengthen that back? Give these a try. https://t.co/QgvpkVIihP https://t.co/c78OHpW8xk,,
Health and Fitness,Health and Fitness/Mental Health,RT @TrevorProject: 💖Did you know that setting #boundaries and checking in with them is a form of #selfcare? 💖 https://t.co/5wWhfTVqdU,"boundaries,selfcare","sparkling_heart,sparkling_heart"
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @FitspirationaI: This looks so delicious 😍 https://t.co/AP20I9whMr,,heart_eyes
Health and Fitness,Health and Fitness/Men's Health,RT @MensFitness: The argument against skim milk: https://t.co/404rPMmLS1 https://t.co/0CJ9du0Pdc,,
Health and Fitness,Health and Fitness/Health Technology,"... @Withings need a ""disabled person walking with sticks"" mode! Bloody well did break a sweat! Ha! https://t.co/Kj9xmhDIQl",,
Health and Fitness,Health and Fitness/Women's Health,RT @SELFmagazine: 13 pictures of animals wearing clothes that you're going to want to see: https://t.co/o3HmboFeMf https://t.co/4ICCO9Ti6s,,
Health and Fitness,Health and Fitness/Disease Centres and Information,RT @TheBHF: Find out why this little girl has been nominated for a BHF Heart Hero award: https://t.co/0C0mYq1tB7 https://t.co/lq6aCol0jd,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @GammaLabs: When in doubt, pinky out. ;) 

#GFUEL 

https://t.co/OIlMhQGb3E https://t.co/ePiovDQHe3",GFUEL,
Health and Fitness,Health and Fitness/Health Technology,Totally agree...check out @classpass for the largest network of fitness studios #workout #tuesdayshares #goon  https://t.co/IFEeY5rUdE,"workout,tuesdayshares,goon",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @muscle_fitness: Row your way to a stronger, more muscular back. https://t.co/gOD5C5vbaQ https://t.co/jyeo7CsJ0l",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @CrossFit: WATCH @ChynaCho BEST HER TOMMY V TIME IN TODAY'S https://t.co/uDMtJYwCLF WORKOUT OF THE DAY.
https://t.co/p7yUR8ZLRk",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Here's why this protein source is an egg-celent part of your diet. https://t.co/6wiZzE2l5m https://t.co/D0DgHPcBMX,,
Health and Fitness,Health and Fitness/Mental Health,RT @EleanorJCalder: I took part in the Regents Park Memory Walk and had a fun day out raising money for @alzheimerssoc 😊 take part at http://t.co/ZaoHLQSiXt xx,,blush
Health and Fitness,Health and Fitness/Mental Health,RT @alzheimerssoc: We are selling a @onedirection t-shirt signed by all the band! Head over to eBay now to get bidding http://t.co/hNMZVDLJ13,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @MensHealthMag: The best ways to prevent hemorrhoids: https://t.co/4NfDbTL4iy https://t.co/cWoevNC6xc,,
Health and Fitness,Health and Fitness/Mental Health,"RT @800273TALK: ""Our voices are important. Our voices can inform &amp; guide productive change...our stories can save lives."" https://t.co/qRH5hdzkeQ",,
Health and Fitness,Health and Fitness/Mental Health,RT @800273TALK: Your weekly reminder: you're getting #stronger every day! And we believe in you. #800273TALK https://t.co/jxpFJE70sF,"stronger,800273TALK",
Health and Fitness,Health and Fitness/Mental Health,RT @800273TALK: Can't sleep? You're not alone! The Lifeline is here for you if you need someone to talk to at 1-800-273-TALK (8255).,,
Health and Fitness,Health and Fitness/Mental Health,"RT @800273TALK: ""Like any invisible illness, there's more to #depression than meets the eye."" https://t.co/WgKX5cJ2vt",depression,
Health and Fitness,Health and Fitness/Mental Health,RT @samhsagov: A3: Learn more about #suicide and race w/ blog from SAMHSA and @AfAmEducation: https://t.co/bFCzlJHIUS. #NMHM16Chat https://t.co/9vnKO9triC,"suicide,NMHM16Chat",
Health and Fitness,Health and Fitness/Women's Health,RT @SELFmagazine: 6 moves that'll improve your posture: https://t.co/ujunQ1H3xD We all need this! https://t.co/Mvplu2Vp0P,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @thenutribullet: Strawberries and peach go together like, well, peaches n’ cream! #NutriBulletInspired https://t.co/9WxrfojPlC",NutriBulletInspired,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @HuffPoLifestyle: 5 ways working night shifts may be affecting your health. https://t.co/ZX1a1Iqv36 https://t.co/dE9YTOh26d,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Better sleep equals better gains. Here's how to get quality rest. https://t.co/xzzrWSnOEa https://t.co/Hum12A2Tzs,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @BeFitMotivation: Things happen in life. You're supposed to change.,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @VitaminShoppe: RT &amp; follow @vitaminshoppe &amp; @Team_Optimum for a chance to win all 4 flavors #ProteinEnergy https://t.co/WdCfNR3lTj https://t.co/EQpnaIalUd,ProteinEnergy,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SELFmagazine: This wearable tech is ~*glam*~ enough to match any outfit: https://t.co/RaWDwmxupB https://t.co/nxIFGjSpff,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: These core-shredders are all you need to carve a sensational six-pack. https://t.co/Y6DY2uBPZZ https://t.co/asTBwEElYY,,
Health and Fitness,Health and Fitness/Aging,RT @ottawahealth: Eating together obstacle 1: I don't have time to cook! Tips from @TheHSF https://t.co/7dP2bnkTZW https://t.co/gOWOICj3zt,,
Health and Fitness,Health and Fitness/Weight Loss,RT @EatThisNotThat: The #1 breakfast that turbocharges your metabolism: https://t.co/NJYMu4OFfZ https://t.co/Om7P1zp8d9,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: It’s safe to assume the deadlift is the oldest strength-training maneuver in existence. https://t.co/FxL6Y1BkNn https://t.co/NjkmCU6yaW,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MensHealthMag: 10 minutes doesn’t sound that bad, until you try this: https://t.co/McrtaChd84",,
Health and Fitness,Health and Fitness/Disease Centres and Information,RT @TheBHF: Read our response to the report suggesting that e-cigarettes are less harmful than smoking: https://t.co/lyn2vGm5dE,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"Looking at different #protein powders, new to this game! So many brands &amp; options... Help! @Neat_Nutrition @Sunwarrior @MyproteinUK",protein,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @VitaminShoppe: RT &amp; follow @vitaminshoppe &amp; @Team_Optimum for a chance to win all 4 flavors #ProteinEnergy https://t.co/EyYp2c8Yrd https://t.co/6f6i6UYxXW,ProteinEnergy,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @JenSelter: Too skinny. Too fat. Too muscular. Too big. Too small. You're always going to be ""Too something"" to someone. Just be yourself.",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @USPlabs: #RT if you're ready for a chance to win @USPlabs #FreebieFriday #giveaway of #MaxREPS+NO3 tomorrow and #LiveModern https://t.co/l4X7ZbRkC0,"RT,FreebieFriday,giveaway,MaxREPS,LiveModern",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: These days.. being kind to others is more needed that ever .. Helping others heals #kindness #mindfulness https://t.co/zBmEOH02Fa,"kindness,mindfulness",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @PreventionMag: 3 makeup tricks to make you look less tired: https://t.co/QYGX3OXC6j https://t.co/8MvsKsdDb7,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @PreventionMag: 5 secrets from women who look way younger than they are: https://t.co/EPvqiXrjdb https://t.co/dwMJvosTvd,,
Health and Fitness,Health and Fitness/Alternative Medicine,"RT @mercola: Every day is a new day to start anew, be kind, and love with all your heart. #NewDay #kindness #love https://t.co/7eGmFGg9sG","NewDay,kindness,love",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @FitspirationaI: Great ab workout 😃 https://t.co/bR3b6rm9t9,,smiley
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @USPlabs: #RT if you're ready for a chance to win @USPlabs #FreebieFriday #giveaway of #MaxREPS+NO3 tomorrow and #LiveModern https://t.co/tTUiEAOuV2,"RT,FreebieFriday,giveaway,MaxREPS,LiveModern",
Health and Fitness,Health and Fitness/Weight Loss,"RT @EatingWell: Best Way to Store Fruits &amp; Veggies: Some play nicely together, others you should keep apart https://t.co/cUfHJL7SeB https://t.co/4XjCJmeQp4",,
Health and Fitness,Health and Fitness/Health Technology,RT @yoursmagazine: It’s #FreebieFriday grab @BurtsBees @Pringles_UK &amp; @FarrowandBall treats #WIN @fitbit prize https://t.co/Yhk0MvKq4v https://t.co/uyl2mgmUob,"FreebieFriday,WIN",
Health and Fitness,Health and Fitness/Health Technology,"@yoursmagazine @BurtsBees @Pringles_UK @FarrowandBall @fitbit Now this I would love, thank you #FreebieFriday #win","FreebieFriday,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @USPlabs: #RT for your chance to win @USPlabs #MaxREPS+NO3  #FreebieFriday #giveaway and #LiveModern https://t.co/F2epQfjLF9,"RT,MaxREPS,FreebieFriday,giveaway,LiveModern",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @goodhealth: This herby edamame dip with buckwheat crackers is the perfect afternoon snack: https://t.co/77mAD3I2sw https://t.co/soswu1LBYK,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @USPlabs: #RT for your chance to win @USPlabs #MaxREPS+NO3  #FreebieFriday #giveaway and #LiveModern! https://t.co/ubDGDnzrFG,"RT,MaxREPS,FreebieFriday,giveaway,LiveModern",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SalveoUK: #Giveaway time! RT &amp; follow @SalveoUK &amp; @UndergroundToys to #win a #CapitanAmericaCivilWar POP! Ends 04/05 23:59 https://t.co/4NFGHBrlat,"Giveaway,win,CapitanAmericaCivilWar",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @USPlabs: #RT for your chance to win @USPlabs #MaxREPS+NO3  #FreebieFriday #giveaway and #LiveModern!! https://t.co/FMPweckkgG,"RT,MaxREPS,FreebieFriday,giveaway,LiveModern",
Health and Fitness,Health and Fitness/Dental Care,"RT @FazeMagazine: RT, share, #smile! 1 day left! Sign up for the @Crest #Whitestrips #contest https://t.co/KqhWUX3gk9 #OralHealthMonth https://t.co/jsAUh0NAIe","smile,Whitestrips,contest,OralHealthMonth",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @USPlabs: #RT now for your chance to win @USPlabs #MaxREPS+NO3  #FreebieFriday #giveaway and #LiveModern https://t.co/wvcSwMVEoz,"RT,MaxREPS,FreebieFriday,giveaway,LiveModern",
Health and Fitness,Health and Fitness/Aging,"Skip to the Loo, My Darling | Gransnet https://t.co/yU65tdsedH via @gransnet",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @USPlabs: #RT now for your chance to win @USPlabs #MaxREPS+NO3  #FreebieFriday #giveaway and #LiveModern! https://t.co/UJQOVPD69l,"RT,MaxREPS,FreebieFriday,giveaway,LiveModern",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Need some #ArnoldPose inspiration? https://t.co/602RNUb7ga #FLEXFriday https://t.co/4mwsBXELR3,"ArnoldPose,FLEXFriday",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Lifting and cardio affect your muscles in different ways—and the order matters. https://t.co/Donhyb2nuR https://t.co/uZtYiZ600c,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @FitspirationaI: Hurry up summer https://t.co/aB1UxEseyS,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @WeHeartLiving: Win a bundle of cardio essentials! Follow and RT to enter. Info: https://t.co/RBfH1tDiT8 #fitness #comp https://t.co/BSz3s2hOua,"fitness,comp",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @USPlabs: #RT now for your chance to win @USPlabs #MaxREPS+NO3  #FreebieFriday #giveaway and #LiveModern!! https://t.co/QBdhrLdyel,"RT,MaxREPS,FreebieFriday,giveaway,LiveModern",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @USPlabs: #RT now for your chance to win @USPlabs #MaxREPS+NO3  #FreebieFriday #giveaway and #LiveModern!!! https://t.co/YtGx5B6577,"RT,MaxREPS,FreebieFriday,giveaway,LiveModern",
Health and Fitness,Health and Fitness/Men's Health,"RT @MensFitness: If you're a naturally big guy, this is your plan to lose weight and build muscle: https://t.co/5rzq6QuC94 https://t.co/LoSoU0rr3y",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @JohnCena: Shoulder range is solid. Ready to come back HOME! @TapouT @WWE @WWEUniverse #NeverGiveUp #ShowYourGrit see u May 30! https://t.co/ECj3EEnbAA,"NeverGiveUp,ShowYourGrit",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @LikeTheWindMag: Fantastic read from #LikeTheWind contributor @edprice7 🏃#WhyWeRun 
https://t.co/Hh3bG5jqmH","LikeTheWind,WhyWeRun",runner
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @PhilKeoghan: #WestCoast #AmazingRace viewing @JoslynDavis @AshleyJ @tyleroakley @koreykuhl @burnie @BlairFowler https://t.co/uuD24Hsrzz,"WestCoast,AmazingRace",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: So many legends in one place! https://t.co/EYkQ3roOj8 via @FLEX_Magazine https://t.co/LLj8uRY9aq,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @JoslynDavis: . @PhilKeoghan on #cheatday with @HeyErinRobinson &amp; I. Things GOT CRAZY. #AmazingRace  https://t.co/NkncXUerys,"cheatday,AmazingRace",
Health and Fitness,Health and Fitness/Mental Health,Showing support to one of my favorite charities @autismspeaks #AutismAwarenessMonth #MuchLove https://t.co/J0oSf7S5bR,"AutismAwarenessMonth,MuchLove",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @PreventionMag: Combat thinning hair by adding this ingredient to your smoothie recipes: https://t.co/FH6NKyEFHf https://t.co/lReQBhY5Y6,,
Health and Fitness,Health and Fitness/Health Technology,I completed this month’s Concentration dare on @myUHC We Dare You and earned a chance to win! Check it out here. https://t.co/vDBK2o1s9q,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @WellandGoodNYC: How to make dark circles go away, according to professional skin-care experts: https://t.co/UcB5qAFcSj https://t.co/bMLou7cPUo",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @American_Heart: Show the world you are taking steps to #RiseAboveHF &amp; end #heartfailure. Join the movement by adding your photo at https://t.co/36WStcCkWB,"RiseAboveHF,heartfailure",
Health and Fitness,Health and Fitness/Health Technology,RT @WearableGuru: Will Apple's New iPhone 7 Come With Hearables? https://t.co/q1J1sB8hxf #WearableTech #Wearables #Hearables https://t.co/njbM87HNkW,"WearableTech,Wearables,Hearables",
Health and Fitness,Health and Fitness/Women's Health,"RT @BCCare: Treatment may affect what you want to eat &amp; drink, try to balance a healthy diet with food you enjoy https://t.co/7Kg3NlMQdn",,
Health and Fitness,Health and Fitness/Disease Centres and Information,RT @BCCare: Thinking about alternative diets following breast cancer? Here's a few things to consider https://t.co/EX1q3BN0si https://t.co/1LRPj7GQic,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Can you manage to avoid these pitfalls while training? https://t.co/OBLT9rgBnx https://t.co/hfQaSgBBp6,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @muscle_fitness: Build your pythons like Arnold. https://t.co/b1MYIzQTCW https://t.co/dCYwuKmrE6,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @911well: Save the Elephants .. They r predicting within a decade the elephant will be extinct #SaveElephants #Elephants https://t.co/LROSelw08c,"SaveElephants,Elephants",
Health and Fitness,Health and Fitness/Disease Centres and Information,Raising money for @@TheBHF. Please #sponsorme on @JustGiving &amp; RT. Thanks! https://t.co/M7yu2FStNY,sponsorme,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @goodhealth: 9 ways to achieve your fitness goals ASAP: https://t.co/Prxty5KYwj https://t.co/NyzNr1hKNo,,
Health and Fitness,Health and Fitness/Women's Health,RT @SELFmagazine: 15 gorgeous wedding dresses under $500: https://t.co/Plj2IH6HIL https://t.co/pgNEHgPOzH,,
Health and Fitness,Health and Fitness/Women's Health,"RT @Shape_Magazine: Ice cream, bagels, and more junk foods that actually boost your workout: https://t.co/uoH6Trr459 https://t.co/IaxBmATHIp",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @WWE: Just 4 HOURS REMAIN until #WWEPayback LIVE TONIGHT at 8e/5p on the award-winning @WWENetwork! How to watch: https://t.co/1WVBWSaH1K @tapout,WWEPayback,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @WWE: The 2016 #WWEPayback Kickoff show is just 30 MINUTES AWAY, and you can check it out RIGHT HERE! https://t.co/pAtdefqsRR @tapout",WWEPayback,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @goodhealth: Yes, you can make healthier doughnuts: https://t.co/erX5mtXs9d https://t.co/5LMZB13jPF",,
Health and Fitness,Health and Fitness/Aging,Ratchet and Clank | Competitions | Gransnet https://t.co/BF1mkH4Fjx via @gransnet,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @MeatManNo1: You still have time to enter our competition  we are running with @SkinnyChimp just FOLLOW, RT and LIKE #teammeat https://t.co/OhLQyHLp4I",teammeat,
Health and Fitness,Health and Fitness/Exercise and Nutrition,New exciting products from @BeFitLondon ~ @ItsuOfficial @DeepHeat_UK @boodywearUK @QuestNutrition #bankholiday https://t.co/zk7oDHX0Te,bankholiday,
Health and Fitness,Health and Fitness/Mental Health,RT @NIDAnews: Educators: Use NIDA’s interactive videos to spark classroom discussion on #AddictionScience. https://t.co/1ieXi7BWJr https://t.co/cEWJg2OYzs,AddictionScience,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @barefootsos: Help us celebrate winning Best Eczema Range! @natural_mag FOLLOW &amp; RT to #win @barefootsos! #competition ends 3.5.16 https://t.co/VidshzS1BK,"win,competition",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"@barefootsos @natural_mag This would be wonderful for my son, thank you for the chance. #competition #win","competition,win",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @microsoftband: Plank 30 sec for a stronger back and better posture. @TheBodyCoach #MicrosoftBand https://t.co/evzK0NgUNP,MicrosoftBand,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @PuritansPride: #GIVEAWAY: RT &amp; follow us for a chance to #win a #Lavender Prize Pack: https://t.co/twcq5kCENa #aromatherapy #eo https://t.co/kZYegpce7i,"GIVEAWAY,win,Lavender,aromatherapy,eo",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @VitaminShoppe: Tag a friend &amp; RT for a chance to win a #committofit prize! @Cellucor @KuraNutrition @BoironUSA @OhYeahNutr #appefit https://t.co/NDiQe0Tamx,"committofit,appefit",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @SELFmagazine: 7 high-protein foods you should always keep in your pantry: https://t.co/a9IwWgrAHk https://t.co/NljVgmM5ZF,,
Health and Fitness,Health and Fitness/Women's Health,Win tickets to New York City Ballet! @PureWow @nycballet @SurreyHotelNYC @MyRebeccaTaylor : https://t.co/ExAzYM8rUV,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"RT @HuffPoLifestyle: 'Do not resuscitate' orders being imposed without informing families, reports finds https://t.co/pGWw84EIt0 https://t.co/jUSRsDDTOD",,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"Try this recipe for pan fried trout from @madeleine_shaw_ new book Ready, Steady, Glow https://t.co/NDcj0ikSSV https://t.co/WbzfC2s3Qj",,
Health and Fitness,Health and Fitness/Aging,Drumond Park | Competitions | Gransnet https://t.co/s9FEcg2DEk via @gransnet,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,"@shauntfitness @FocusT25 just finished speed 2.0 for the first time, easily my favourite routine so far, excellent workout #t25 #focus","t25,focus",
Health and Fitness,Health and Fitness/Exercise and Nutrition,"@cluranderson @FocusT25 @shauntfitness it's great, 25 minutes just flew in, have only previously done insanity before",,
Health and Fitness,Health and Fitness/Mental Health,RT @PsychToday: Why we don't sleep well in unfamiliar places? https://t.co/sf5u5haPSf,,
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: RT &amp; F to #win Nike #running shoes in our May #competition. Ts &amp; Cs &gt;&gt;&gt; https://t.co/tIPzutjaqp #realbuzzWin https://t.co/DjMa1zAoZh,"win,running,competition,realbuzzWin",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @realbuzzcom: #Win Nike #running shoes in our May #competition #giveaway. Follow &amp; RT to enter. #realbuzzWin #fitfam https://t.co/TXvROHhgkG,"Win,running,competition,giveaway,realbuzzWin,fitfam",
Health and Fitness,Health and Fitness/Health Technology,RT @WearableGuru: Rumor: The Apple Watch 2 Will Make The IPhone Obsolete https://t.co/WGfxJqkwJG #Wearables #WearableTech #IoT https://t.co/EK35TmKwCv,"Wearables,WearableTech,IoT",
Health and Fitness,Health and Fitness/Exercise and Nutrition,RT @American_Heart: Expert defends heart disease &amp; stroke ‘risk calculator’ after study questions its accuracy. https://t.co/LOjGeQ2uqN https://t.co/NG7RmGYSuO,,
Health and Fitness,Health and Fitness/Aging,RT @TheHSF: DYK that heart disease and stroke kill seven times as many women as breast cancer? Make a #Pledge4Moms today! https://t.co/HQhFbO5vf1,Pledge4Moms,
Health and Fitness,Health and Fitness/Health Technology,RT @WearableGuru: Sony Patents Contact Lens That Records What You See https://t.co/HjZUxNFBI8 #Wearables #WearableTech https://t.co/tsYH4I0OjF,"Wearables,WearableTech",
